epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,76.3045,1.11473,0.77954,1.20922,0.93999,0.97678,0.99189,0.67528,1.27516,0.65268,1.41759,0.00132577,0.00132577,0.00132577
121,76.9131,1.07984,0.7984,1.23809,0.96964,0.97436,0.99189,0.69582,1.28114,0.63436,1.42174,0.00131593,0.00131593,0.00131593
122,77.5052,1.0831,0.81102,1.21805,0.96823,0.97436,0.99189,0.72393,1.15324,0.60644,1.33405,0.00130605,0.00130605,0.00130605
123,78.103,1.05681,0.81001,1.21571,0.96823,0.97436,0.99189,0.72393,1.15324,0.60644,1.33405,0.00129614,0.00129614,0.00129614
124,78.7091,0.99298,0.7308,1.19024,0.98675,0.97436,0.99189,0.73733,1.10776,0.59521,1.28729,0.0012862,0.0012862,0.0012862
125,79.3443,1.07072,0.79339,1.21601,0.98536,0.97436,0.99333,0.73839,1.11404,0.58706,1.27627,0.00127623,0.00127623,0.00127623
126,80.0017,1.04547,0.76646,1.17363,0.97929,0.97436,0.99333,0.74102,1.1063,0.57032,1.26231,0.00126623,0.00126623,0.00126623
127,80.6154,1.04444,0.74826,1.19477,0.97929,0.97436,0.99333,0.74102,1.1063,0.57032,1.26231,0.0012562,0.0012562,0.0012562
128,81.3203,0.99087,0.74904,1.21614,0.96766,0.97436,0.99333,0.73133,1.09941,0.56863,1.25958,0.00124615,0.00124615,0.00124615
129,81.923,0.98483,0.72234,1.15202,0.96698,0.97436,0.99333,0.72867,1.16462,0.59021,1.31338,0.00123607,0.00123607,0.00123607
130,82.5287,1.06809,0.72321,1.21543,0.9683,0.97436,0.99333,0.72206,1.22161,0.59109,1.34897,0.00122596,0.00122596,0.00122596
131,83.1014,0.99587,0.7452,1.17502,0.9683,0.97436,0.99333,0.72206,1.22161,0.59109,1.34897,0.00121583,0.00121583,0.00121583
132,83.682,1.01611,0.77523,1.18334,0.9779,0.97436,0.99333,0.72,1.23292,0.59607,1.35823,0.00120568,0.00120568,0.00120568
133,84.2768,1.01092,0.73743,1.21982,0.98105,0.96836,0.99333,0.70857,1.19798,0.58446,1.33176,0.00119551,0.00119551,0.00119551
134,84.8725,1.08234,0.79228,1.20288,0.988,0.97436,0.99333,0.72702,1.22024,0.57931,1.34681,0.00118531,0.00118531,0.00118531
135,85.4599,0.97026,0.67887,1.13482,0.988,0.97436,0.99333,0.72702,1.22024,0.57931,1.34681,0.0011751,0.0011751,0.0011751
136,86.0191,1.12014,0.79935,1.25782,0.98439,0.9853,0.995,0.71478,1.25756,0.56859,1.37991,0.00116487,0.00116487,0.00116487
137,86.697,1.04434,0.75786,1.21732,0.98017,0.99257,0.995,0.68316,1.34585,0.57558,1.45874,0.00115462,0.00115462,0.00115462
138,87.2806,1.06064,0.74433,1.23442,0.97922,0.99307,0.995,0.68711,1.41043,0.60269,1.48778,0.00114436,0.00114436,0.00114436
139,87.8643,1.04409,0.79895,1.19793,0.97922,0.99307,0.995,0.68711,1.41043,0.60269,1.48778,0.00113408,0.00113408,0.00113408
140,88.4271,1.08396,0.78431,1.23268,0.97488,0.98955,0.995,0.70265,1.33478,0.60166,1.4087,0.00112379,0.00112379,0.00112379
141,89.0363,1.05634,0.78468,1.24741,0.97397,0.97436,0.99333,0.74941,1.15978,0.56616,1.27673,0.00111348,0.00111348,0.00111348
142,89.6049,1.12503,0.85696,1.33475,0.91461,0.97436,0.98062,0.75242,1.09069,0.56745,1.22842,0.00110317,0.00110317,0.00110317
143,90.1907,1.09612,0.76685,1.25719,0.91461,0.97436,0.98062,0.75242,1.09069,0.56745,1.22842,0.00109284,0.00109284,0.00109284
144,90.7679,1.01918,0.77957,1.18271,0.90915,0.94872,0.97626,0.75006,1.10279,0.56397,1.23614,0.00108251,0.00108251,0.00108251
145,91.3531,1.12336,0.83019,1.24508,0.91518,0.97436,0.98394,0.74444,1.15556,0.57378,1.27459,0.00107216,0.00107216,0.00107216
146,92.0063,0.95058,0.66794,1.17677,0.96827,0.94872,0.99143,0.71879,1.27004,0.57465,1.35962,0.00106181,0.00106181,0.00106181
147,92.6033,1.0461,0.7923,1.19586,0.96827,0.94872,0.99143,0.71879,1.27004,0.57465,1.35962,0.00105146,0.00105146,0.00105146
148,93.1763,1.06338,0.7888,1.23242,0.9656,0.94872,0.99143,0.7025,1.3054,0.57385,1.39011,0.0010411,0.0010411,0.0010411
149,93.7842,1.07536,0.8249,1.2333,0.90162,0.95237,0.98043,0.69561,1.25525,0.56634,1.35621,0.00103073,0.00103073,0.00103073
150,94.3558,0.98644,0.69797,1.1599,0.89629,0.96618,0.97846,0.72301,1.15741,0.57283,1.28293,0.00102037,0.00102037,0.00102037
151,94.9109,1.04957,0.76303,1.26043,0.89629,0.96618,0.97846,0.72301,1.15741,0.57283,1.28293,0.00101,0.00101,0.00101
152,95.4814,0.93738,0.6911,1.18222,0.93171,0.97436,0.98156,0.71854,1.11491,0.55279,1.2638,0.000999633,0.000999633,0.000999633
153,96.1054,0.97921,0.70796,1.19043,0.93874,0.97212,0.98057,0.71821,1.13317,0.56177,1.28341,0.000989267,0.000989267,0.000989267
154,96.6999,1.10326,0.79316,1.25155,0.94994,0.96264,0.98268,0.71373,1.17348,0.57392,1.30971,0.000978903,0.000978903,0.000978903
155,97.3991,1.0883,0.79892,1.22418,0.94994,0.96264,0.98268,0.71373,1.17348,0.57392,1.30971,0.000968543,0.000968543,0.000968543
156,97.991,0.91959,0.64121,1.15193,0.95504,0.96225,0.98473,0.70247,1.18954,0.56268,1.3211,0.000958187,0.000958187,0.000958187
157,98.5947,1.01477,0.784,1.23839,0.95765,0.9547,0.98857,0.72234,1.15844,0.55619,1.3101,0.000947837,0.000947837,0.000947837
158,99.1952,0.92344,0.69466,1.15874,0.95759,0.94872,0.98857,0.73502,1.10408,0.55056,1.28183,0.000937494,0.000937494,0.000937494
159,99.7976,1.0358,0.68534,1.22404,0.95759,0.94872,0.98857,0.73502,1.10408,0.55056,1.28183,0.000927159,0.000927159,0.000927159
160,100.375,0.94773,0.64262,1.1515,0.98344,0.97291,0.99189,0.73382,1.07154,0.53245,1.26389,0.000916833,0.000916833,0.000916833
